uuid,fish_id,age,length,weight,month,is_male,is_female,is_unknown,is_plaice,is_herring
fbe2c5de-4c81-4ba8-ba98-8acbdf4eb3a9,CAR-025-74-1778,11,0.3,0.185,0.75,0,1,0,1,0
fb174521-9553-4223-a580-668caf7294a9,CAR-025-62-1478,2,0.13,0.017,0.75,0,1,0,1,0
75a34c71-7075-475a-80eb-423ee1dd823a,CAR-025-26-0558,5,0.21,0.064,0.75,1,0,0,1,0
92f349d1-cf3a-4eed-8f4c-8e35a14def56,CAR-025-16-0344,11,0.29,0.179,0.75,1,0,0,1,0
f5b96e01-a45f-41b5-bc69-069e9fc9c6b2,CAR-025-74-1791,1,0.07,0.003,0.75,0,0,1,1,0
12c8a0ed-318b-4342-909c-cda61840401b,CAR-025-36-0845,10,0.31,0.206,0.75,0,1,0,1,0
fe9bb62c-602a-40d6-9950-63e0717a52f5,TEL-232-63-0439,2,0.1,0.006,0.75,0,0,1,1,0
b245a4ad-7ba9-4d1c-a6e6-ac4fed882349,CAR-025-72-1721,12,0.29,0.174,0.75,1,0,0,1,0
6ec65c73-9ff2-444a-9a1c-d51ee38adc93,CAR-025-4-0048,4,0.15,0.025,0.75,0,1,0,1,0
b0e7cc4c-f832-4ceb-b78f-c5ce522c473b,CAR-025-63-1511,5,0.21,0.065,0.75,0,0,1,1,0
35e78934-5452-4f96-aabf-1d5c553e1485,CAR-025-73-1765,2,0.12,0.011,0.75,1,0,0,1,0
0f2115e4-0758-422f-9d7c-578ed4a2be39,CAR-025-18-0455,12,0.35,0.343,0.75,0,1,0,1,0
2e549412-0ac8-48ec-8321-d36124dab745,CAR-025-54-1202,6,0.24,0.097,0.75,0,1,0,1,0
a53fa7ef-04f6-4223-9b33-62530e58a820,CAR-025-30-0723,4,0.14,0.019,0.75,0,0,1,1,0
5ad01833-72af-4947-b3d2-c068fb0c443e,CAR-025-41-0979,3,0.15,0.024,0.75,0,0,1,1,0
b78c6194-42d1-4ba7-9b6e-a2fbb423532d,CAR-025-55-1246,15,0.35,0.326,0.75,0,1,0,1,0
cc95994a-2de2-42f5-bab9-a91759fa8933,CAR-025-19-0491,3,0.11,0.009,0.75,0,1,0,1,0
ada8cd42-ce70-4a1b-b349-a354d1a14f05,CAR-025-4-0077,1,0.06,0.002,0.75,0,0,1,1,0
7727b7b6-0ccc-455a-bca1-7d228ac3ca31,CAR-025-73-1733,4,0.23,0.084,0.75,0,1,0,1,0
b86f20ee-e65e-4529-b5e5-56ecd0858987,CAR-025-38-0876,3,0.12,0.01,0.75,0,1,0,1,0
4d8c6430-03a2-4621-8b46-aa6a9ecede6a,CAR-025-19-0478,1,0.07,0.003,0.75,0,0,1,1,0
e7ed4725-790a-41be-b1a3-a56fafa97023,CAR-025-43-1002,2,0.12,0.012,0.75,0,0,1,1,0
1ea7a532-b5fd-4bec-8ad5-55da85b49ec2,CAR-025-29-0687,2,0.13,0.016,0.75,0,0,1,1,0
5b91431b-81f8-4b51-9eca-5f556c4f8a11,TEL-232-71-0472,4,0.19,0.044,0.75,0,0,1,1,0
c2c123e1-f1b2-4902-8437-25d46df8e31b,TEL-232-71-0471,6,0.2,0.056,0.75,0,0,1,1,0
1f2af9b7-435d-4b12-969b-9c02018c22f2,CAR-025-3-0003,13,0.39,0.458,0.75,0,1,0,1,0
8be1d73d-4dcc-4c82-b6a2-53a18fd569ec,CAR-025-64-1533,13,0.32,0.301,0.75,0,1,0,1,0
36d29740-0e57-4c60-905a-29e3923c2c6e,CAR-025-28-0643,7,0.19,0.046,0.75,1,0,0,1,0
a46b9f85-314a-4f11-b019-dc56b05785cd,TEL-232-72-0521,3,0.12,0.01,0.75,0,0,1,1,0
883d78c4-8cbd-44fd-98dd-1f6153c0a244,CAR-025-35-1081,1,0.07,0.002,0.75,0,0,1,1,0
16a20f74-abe9-4793-b6a5-7d82759ea9c0,CAR-025-26-0567,2,0.14,0.019,0.75,0,1,0,1,0
05d59829-c89b-4553-8844-d08a007ced28,TEL-232-72-0522,13,0.34,0.298,0.75,0,0,1,1,0
2970c890-1b41-46cf-8def-c1041d919003,CAR-025-56-1287,9,0.24,0.09,0.75,1,0,0,1,0
f6b3487a-2801-440e-91ca-1a6431370f66,CAR-025-15-0297,8,0.29,0.163,0.75,0,1,0,1,0
fedf2e51-26a0-46f8-82bb-e9dcb5048fc9,CAR-025-33-0762,4,0.17,0.032,0.75,0,1,0,1,0
0614bc28-4a72-4103-a6cd-11988c4a2981,TEL-232-54-0412,9,0.22,0.071,0.75,0,0,1,1,0
e7428d61-3f67-458c-809d-c90804fa2e54,TEL-232-54-0411,8,0.31,0.205,0.75,0,0,1,1,0
2d68873b-19eb-4eaa-b2c2-d6d0aa70e671,CAR-025-13-0227,6,0.24,0.087,0.75,0,1,0,1,0
01183484-2315-4e83-b5cc-01ddf2d6487e,CAR-025-25-0526,11,0.29,0.165,0.75,1,0,0,1,0
ad99c2e5-3f84-4f32-8113-d5ea0514574a,CAR-025-6-0136,2,0.13,0.013,0.75,1,0,0,1,0
95c3f73b-6f09-46de-a251-74b46c90ac94,CAR-025-71-1672,4,0.21,0.061,0.75,0,1,0,1,0
9c5692b5-caf8-4ae0-8f81-aa9c4b899a63,CAR-025-34-0796,11,0.29,0.169,0.75,0,1,0,1,0
936c79ce-4f9f-40df-9033-cef3fa03afe5,CAR-025-7-0172,5,0.21,0.078,0.75,0,1,0,1,0
a1d98251-377e-4b72-8bf4-a9e74875c7a3,CAR-025-68-1612,6,0.21,0.057,0.75,1,0,0,1,0
0ad79588-a705-4983-89bb-c544df9774b0,CAR-025-4-0063,11,0.37,0.391,0.75,0,1,0,1,0
03ef9941-e651-4db4-8cd7-916c5cf343dc,CAR-025-19-0485,4,0.17,0.03,0.75,0,1,0,1,0
0a641e99-7a18-4f11-b1dc-b2acb2774db3,CAR-025-73-1727,7,0.25,0.103,0.75,0,1,0,1,0
f7e4ee47-5b56-49ef-b939-4a7452100192,CAR-025-40-0940,3,0.13,0.014,0.75,0,1,0,1,0
76b9add7-f378-492a-8531-dd7949c48a6d,CAR-025-55-1252,4,0.18,0.037,0.75,0,1,0,1,0
f176c227-65ab-4974-afb9-c5483963ed7f,CAR-025-45-1026,10,0.29,0.21,0.75,1,0,0,1,0
a6f5554d-279a-45c5-945d-792da57ff416,CAR-025-38-0862,9,0.26,0.143,0.75,0,1,0,1,0
f71b2892-75a1-4c6f-887c-e5272a58850f,CAR-025-40-0929,1,0.07,0.003,0.75,0,0,1,1,0
c7e7dbc4-e791-4641-82e7-d56adcadfc3c,CAR-025-54-1216,6,0.21,0.063,0.75,0,1,0,1,0
8b99d1d2-d927-403a-87c4-7c34a1514049,CAR-025-41-0984,8,0.23,0.108,0.75,1,0,0,1,0
cd84effd-04d3-442b-8285-fb5a16a19229,CAR-025-18-0441,8,0.24,0.1,0.75,1,0,0,1,0
1c5ab1ac-7ae4-4bda-9b67-fc950b6b4ee5,TEL-232-63-0429,6,0.24,0.095,0.75,0,0,1,1,0
f3d336bd-f648-4558-a1a9-560001207325,CAR-025-18-0428,8,0.26,0.12,0.75,1,0,0,1,0
e0ce8583-030c-441c-a19d-3554a661e4f7,CAR-025-28-0657,11,0.24,0.099,0.75,1,0,0,1,0
780560e7-e284-4f6c-b126-9bc9b7e7a5ce,CAR-025-17-0409,6,0.24,0.07,0.75,1,0,0,1,0
b149a37a-6830-415a-8eb5-5b48b074a007,CAR-025-3-0017,4,0.18,0.039,0.75,0,1,0,1,0
43b5c3d9-fc74-4ad3-9fe6-d09840304a17,CAR-025-26-0573,6,0.25,0.101,0.75,0,1,0,1,0
0e369e1c-d437-4590-ae0e-ada6db81e943,CAR-025-62-1453,4,0.18,0.048,0.75,1,0,0,1,0
9da882ca-a590-4d9c-b417-96bdda44afb9,CAR-025-65-1563,4,0.2,0.063,0.75,0,1,0,1,0
28575685-6325-4a11-9b8c-b56a72d46907,CAR-025-29-0693,4,0.14,0.017,0.75,0,1,0,1,0
649ecd6f-4af0-4458-aa4e-bf6c44302e76,CAR-025-75-1817,4,0.16,0.026,0.75,1,0,0,1,0
3ab54994-c71f-421b-aa15-a6c606f856f7,CAR-025-63-1497,4,0.21,0.053,0.75,1,0,0,1,0
75905d36-169d-4402-b5ab-367df0bf6ddc,TEL-232-24-0092,8,0.26,0.139,0.75,0,0,1,1,0
517ca1cb-5f7b-45e1-b72d-aaaf6f603b1d,TEL-232-24-0091,5,0.16,0.029,0.75,0,0,1,1,0
01aed35b-348a-4b96-8da8-def05e5a0d4f,TEL-232-63-0426,4,0.16,0.033,0.75,0,0,1,1,0
6f5d8340-2e03-459e-80bf-577e4c724456,TEL-232-63-0425,5,0.21,0.071,0.75,0,0,1,1,0
cfc10156-051f-4612-86c2-1f3c0d2be3f6,CAR-025-49-1102,3,0.15,0.027,0.75,1,0,0,1,0
b910621b-7f40-43e6-8150-8ecc60860432,CAR-025-56-1293,4,0.15,0.021,0.75,0,1,0,1,0
83ce73e8-c507-42c6-a716-6abe9ff44637,CAR-025-46-1067,1,0.07,0.003,0.75,0,0,1,1,0
5d8f25ed-fc3e-4bea-9ecd-f5833a569cc9,CAR-025-68-1606,5,0.23,0.067,0.75,1,0,0,1,0
57b784f3-11ab-4d2a-aa65-a08c1a1ce6cf,CAR-025-34-0782,9,0.28,0.153,0.75,1,0,0,1,0
a795dd93-9c8d-477c-84a4-7bf97a3e6bfa,CAR-025-7-0166,1,0.06,0.002,0.75,0,0,1,1,0
c4d0bcf6-a5f2-418e-80c4-28546e2f0741,TEL-232-49-0242,6,0.21,0.054,0.75,0,0,1,1,0
1e2c3e0f-81ba-49f7-bbb2-f035296d57f4,CAR-025-34-0802,2,0.12,0.01,0.75,0,1,0,1,0
41365a21-e6b4-4031-996e-9a3f3604bd14,TEL-232-49-0241,5,0.14,0.019,0.75,0,0,1,1,0
8e86c061-ae53-4362-885d-3e63d3b47a0a,CAR-025-25-0532,4,0.2,0.053,0.75,0,1,0,1,0
1cdedb9f-d161-43b4-b2d9-60b255d10b13,CAR-025-6-0122,4,0.15,0.02,0.75,0,1,0,1,0
02cb8320-ae1f-4a4b-bc84-a1fc7616cc4f,CAR-025-71-1666,10,0.26,0.152,0.75,1,0,0,1,0
fb970cbf-5589-40f5-b8a9-d99b440894e0,CAR-025-13-0233,6,0.23,0.093,0.75,0,1,0,1,0
93e35828-b69f-4280-8661-1e3c5ced472b,CAR-025-76-1869,6,0.24,0.104,0.75,0,1,0,1,0
484559a9-e4fc-4ee7-8bd1-459a3fa6fa8c,CAR-025-66-1574,6,0.24,0.105,0.75,0,1,0,1,0
0bffa752-e102-4f17-a2cc-3ccb139dad27,CAR-025-49-1090,2,0.11,0.007,0.75,0,1,0,1,0
a69a4b17-5e5e-486b-8ffc-6fca8a6e209e,CAR-025-76-1880,5,0.21,0.076,0.75,1,0,0,1,0
2ffff596-a698-4a13-b02e-f25d6aeb825d,CAR-025-35-0810,6,0.22,0.074,0.75,0,1,0,1,0
44299673-7b88-4d8d-8513-6bd5771c239b,TEL-232-23-0070,6,0.23,0.081,0.75,0,0,1,1,0
4e36483e-d864-4fc6-92d0-70af6bb87e38,CAR-025-71-1659,4,0.19,0.052,0.75,1,0,0,1,0
1d81e2c0-9fe3-4e87-bc83-6b8fd262b6fc,TEL-232-23-0073,6,0.21,0.06,0.75,0,0,1,1,0
cf6d5a96-86f5-4651-88b1-07f80b5afc9c,CAR-025-15-0311,6,0.19,0.041,0.75,0,1,0,1,0
1f938427-7aa6-46c0-86b8-50c22a27e518,CAR-025-13-0265,7,0.25,0.102,0.75,1,0,0,1,0
fe7ec101-758e-4608-aeaf-a773e3cf5233,CAR-025-69-1614,4,0.2,0.063,0.75,0,1,0,1,0
87676e89-59f8-4bf1-829e-4cb1c76ad693,CAR-025-57-1345,10,0.29,0.187,0.75,0,1,0,1,0
a6e3ac6e-3bdb-4b55-bea4-f190e9f9c12f,CAR-025-61-1444,4,0.17,0.03,0.75,1,0,0,1,0
6abb7fdb-d7f5-4f7f-8567-189edec0cc2e,CAR-025-77-1900,4,0.2,0.052,0.75,0,1,0,1,0
aed31eab-38f4-43a7-82a4-13f7ab788a8c,TEL-232-54-0401,13,0.29,0.179,0.75,0,0,1,1,0
5af91ce8-de19-46b4-909a-41206e41ead8,CAR-025-58-1364,4,0.18,0.047,0.75,1,0,0,1,0
dbd0b148-afb5-4b7a-a11f-23c97e07ad2a,TEL-232-54-0402,4,0.17,0.028,0.75,0,0,1,1,0
d384b280-c71e-4e73-a139-bbb0f1a2f31f,CAR-025-42-0993,7,0.29,0.239,0.75,0,1,0,1,0
0b1a73d8-eb03-4ef0-a7dc-4172b3b4ff29,CAR-025-50-1134,7,0.22,0.078,0.75,1,0,0,1,0
865c0b6c-8b80-4510-962a-91d72a2614ca,CAR-025-59-1402,8,0.23,0.084,0.75,1,0,0,1,0
7ecd2d9b-22be-4e70-bf14-9628172b2601,CAR-025-46-1031,2,0.12,0.011,0.75,0,1,0,1,0
85f75457-7741-4cf8-ba48-0d1c47be53d4,CAR-025-51-1170,5,0.2,0.045,0.75,0,1,0,1,0
320bb972-d386-4229-aa70-3e9eba1ea747,CAR-025-14-0278,7,0.25,0.113,0.75,0,1,0,1,0
9631d53b-32cd-446b-986e-4a1606643f1a,CAR-025-46-1058,7,0.28,0.184,0.75,0,1,0,1,0
1d64dbbb-9a8c-4232-a893-f82bd2a0dfea,CAR-025-51-1199,1,0.06,0.002,0.75,0,0,1,1,0
aafb0a7d-bc0b-406b-9a71-c52fb315d188,CAR-025-14-0291,3,0.11,0.01,0.75,0,0,1,1,0
6c2043d5-e1bb-4f4b-8455-c3f5fafda41b,CAR-025-36-0838,6,0.24,0.102,0.75,0,1,0,1,0
d350e972-57eb-4990-9705-7182e818a413,CAR-025-3-0028,4,0.16,0.028,0.75,1,0,0,1,0
10f02964-eb3d-4f2f-a71b-c4035bbb572f,CAR-025-16-0339,4,0.16,0.027,0.75,0,1,0,1,0
5cda012f-4493-4b56-bd52-6daa08b3bc78,TEL-232-68-0462,3,0.15,0.022,0.75,0,0,1,1,0
f56157d8-f88f-4fde-afb3-006768c6d386,CAR-025-74-1805,8,0.22,0.075,0.75,1,0,0,1,0
a0a73da5-ea1b-40b8-b2d8-bb2dc811be68,TEL-232-68-0461,3,0.15,0.018,0.75,0,0,1,1,0
e0b5d85a-d725-4883-8280-0d3ced2d3945,CAR-025-62-1485,3,0.15,0.026,0.75,1,0,0,1,0
97ea6ccd-079c-4a4c-bcf5-8b876d2a48ce,TEL-232-72-0532,4,0.15,0.021,0.75,0,0,1,1,0
d521b38b-4b28-4958-b784-d7b960244de8,CAR-025-74-1785,4,0.16,0.026,0.75,1,0,0,1,0
4f727789-6f43-494a-8fd6-c2ea04163214,CAR-025-3-0041,2,0.08,0.004,0.75,0,0,1,1,0
c8cf4ce5-c586-4ffe-af93-7df5e63dcf70,TEL-232-72-0531,4,0.14,0.02,0.75,0,0,1,1,0
16f670e6-ccb6-4f97-b666-f8d31a952829,CAR-025-72-1698,4,0.14,0.015,0.75,1,0,0,1,0
b3266cd7-a5bb-4880-b4f4-f514d65bd016,TEL-232-51-0313,2,0.12,0.012,0.75,0,0,1,1,0
